rank,finalWorth,category,personName,age,country,city,source,industries,countryOfCitizenship,selfMade,gender,birthDate,lastName,firstName,country_cpi,country_gdp,country_population,country_lat, country_long,city_lat,city_long
77,21000,Manufacturing,Takemitsu Takizaki,77.0,Japan,Osaka,Sensors,Manufacturing,Japan,True,M,6/10/1945 0:00,Takizaki,Takemitsu,105.48,"$5,081,769,542,380 ",126226568.0,36.204824,138.252924,34.6939,135.5022
79,20900,Metals & Mining,Alexey Mordashov & family,57.0,Russia,Moscow,"Steel, investments",Metals & Mining,Russia,True,M,9/26/1965 0:00,Mordashov,Alexey,180.75,"$1,699,876,578,871 ",144373535.0,61.52401,105.318756,55.7558,37.6172
80,20500,Energy,Vagit Alekperov,72.0,Russia,Moscow,Oil,Energy,Russia,True,M,9/1/1950 0:00,Alekperov,Vagit,180.75,"$1,699,876,578,871 ",144373535.0,61.52401,105.318756,55.7558,37.6172
81,20200,Healthcare,"Thomas Frist, Jr. & family",84.0,United States,Nashville,Hospitals,Healthcare,United States,True,M,8/12/1938 0:00,Frist,Thomas,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891,36.1715,-86.7842
82,19600,Metals & Mining,Andrew Forrest,61.0,Australia,Perth,Mining,Metals & Mining,Australia,True,M,11/18/1961 0:00,Forrest,Andrew,119.8,"$1,392,680,589,329 ",25766605.0,-25.274398,133.775136,-31.9559,115.8606
83,19100,Finance & Investments,Ray Dalio,73.0,United States,Greenwich,Hedge funds,Finance & Investments,United States,True,M,8/8/1949 0:00,Dalio,Ray,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891,,
84,19000,Automotive,Eric Li,59.0,China,Hangzhou,Automobiles,Automotive,China,True,M,6/1/1963 0:00,Li,Eric,125.08,"$19,910,000,000,000 ",1397715000.0,35.86166,104.195397,30.267,120.153
84,19000,Metals & Mining,Wang Wenyin,55.0,China,Shenzhen,"Mining, copper products",Metals & Mining,China,True,M,3/1/1968 0:00,Wang,Wenyin,125.08,"$19,910,000,000,000 ",1397715000.0,35.86166,104.195397,22.5415,114.0596
86,18900,Diversified,Eyal Ofer,72.0,Monaco,Monte Carlo,"Real estate, shipping",Diversified,Israel,False,M,6/2/1950 0:00,Ofer,Eyal,,"$7,184,844,193 ",38964.0,43.7384176,7.4246158,,
86,18900,Food & Beverage,Qin Yinglin,57.0,China,Nanyang,Pig breeding,Food & Beverage,China,True,M,4/17/1965 0:00,Qin,Yinglin,125.08,"$19,910,000,000,000 ",1397715000.0,35.86166,104.195397,32.9987,112.5292
88,18700,Automotive,Wang Chuanfu,57.0,China,Shenzhen,"Batteries, automobiles",Automotive,China,True,M,2/15/1966 0:00,Wang,Chuanfu,125.08,"$19,910,000,000,000 ",1397715000.0,35.86166,104.195397,22.5415,114.0596
89,18500,Energy,Harold Hamm & family,77.0,United States,Oklahoma City,Oil & gas,Energy,United States,True,M,12/11/1945 0:00,Hamm,Harold,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891,35.4676,-97.5136
89,18500,Finance & Investments,David Tepper,65.0,United States,Palm Beach,Hedge funds,Finance & Investments,United States,True,M,9/11/1957 0:00,Tepper,David,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891,26.6945,-80.0408
89,18500,Energy,Gennady Timchenko,70.0,Russia,Moscow,"Oil, gas",Energy,Russia,True,M,11/9/1952 0:00,Timchenko,Gennady,180.75,"$1,699,876,578,871 ",144373535.0,61.52401,105.318756,55.7558,37.6172
92,18000,Finance & Investments,Daniel Gilbert,61.0,United States,Franklin,Quicken Loans,Finance & Investments,United States,True,M,1/17/1962 0:00,Gilbert,Daniel,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891,35.92,-86.8516
92,18000,Finance & Investments,Daniel Gilbert,61.0,United States,Franklin,Quicken Loans,Finance & Investments,United States,True,M,1/17/1962 0:00,Gilbert,Daniel,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891,40.4759,-74.5515
92,18000,Finance & Investments,Daniel Gilbert,61.0,United States,Franklin,Quicken Loans,Finance & Investments,United States,True,M,1/17/1962 0:00,Gilbert,Daniel,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891,42.8854,-88.0104
92,18000,Finance & Investments,Daniel Gilbert,61.0,United States,Franklin,Quicken Loans,Finance & Investments,United States,True,M,1/17/1962 0:00,Gilbert,Daniel,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891,42.0862,-71.4113
92,18000,Finance & Investments,Daniel Gilbert,61.0,United States,Franklin,Quicken Loans,Finance & Investments,United States,True,M,1/17/1962 0:00,Gilbert,Daniel,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891,39.4948,-86.0544
92,18000,Finance & Investments,Daniel Gilbert,61.0,United States,Franklin,Quicken Loans,Finance & Investments,United States,True,M,1/17/1962 0:00,Gilbert,Daniel,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891,39.5954,-75.019
92,18000,Finance & Investments,Daniel Gilbert,61.0,United States,Franklin,Quicken Loans,Finance & Investments,United States,True,M,1/17/1962 0:00,Gilbert,Daniel,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891,39.5538,-84.2952
92,18000,Finance & Investments,Daniel Gilbert,61.0,United States,Franklin,Quicken Loans,Finance & Investments,United States,True,M,1/17/1962 0:00,Gilbert,Daniel,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891,36.7177,-86.5595
